Content Type,Video title,Video publish date,Video publish year,definition,caption,pushblishDayName,tagCount,noOfWordsInTitle,durationSecs,likeCount,commentCount,Views,View-to-Like Ratio,Comments per View,Views per Minute,dayType
Video,I Searched 100 Dumpsters Heres What I Found,20-11-2022,2022,hd,TRUE,Saturday,0,8,1028,1578381,52489,91437351,1.726188459,0.057404331,5336810.37,Weekend
Video,Going Through The Same Drive Thru 1000 Times,21-11-2022,2022,hd,TRUE,Saturday,0,8,938,3563848,127145,161264322,2.209942011,0.07884261,10315415.05,Weekend
Video,Donating $100000 To Random Streamers,22-11-2022,2022,hd,TRUE,Saturday,0,5,963,1190028,42094,38508818,3.090274025,0.109310029,2399303.302,Weekend
Video,Surviving 24 Hours Straight In A Rain Forest,23-11-2022,2022,hd,TRUE,Saturday,0,8,789,1803465,71367,83924497,2.148913684,0.08503715,6382091.027,Weekend
Video,Last To Leave Ramen Noodle Pool Wins $20000,24-11-2022,2022,hd,TRUE,Friday,0,8,872,1125387,43631,48296121,2.330180927,0.090340589,3323127.592,Workday
Video,Anything You Can Carry Ill Pay For #2,25-11-2022,2022,hd,TRUE,Friday,0,8,839,1232875,33258,52383600,2.353551493,0.063489336,3746145.411,Workday
Video,I Gave My Brother 24 Hours To Spend $100000,26-11-2022,2022,hd,TRUE,Saturday,0,9,788,1672274,55697,53693600,3.114475468,0.103731171,4088345.178,Weekend
Video,I Opened A Free Car Dealership,27-11-2022,2022,hd,TRUE,Thursday,0,6,999,2854623,138189,98659985,2.893394926,0.140065904,5925524.625,Workday
Video,Last To Leave Pool Of $20000 Keeps It,28-11-2022,2022,hd,TRUE,Saturday,0,8,999,2294079,80494,110414754,2.077692443,0.072901489,6631516.757,Weekend
Video,Surviving 24 Hours On A Deserted Island,29-11-2022,2022,hd,TRUE,Thursday,0,7,832,2469233,75688,121409165,2.033811039,0.062341257,8755468.63,Workday
Video,Last To Leave Roller Coaster Wins $20000 - Challenge,30-11-2022,2022,hd,TRUE,Saturday,0,9,917,2125003,65622,92864835,2.288275212,0.070663992,6076216.031,Weekend
Video,I Won Every Prize At A Theme Park,01-12-2022,2022,hd,TRUE,Thursday,0,8,802,2078865,66568,104294814,1.993258265,0.063826759,7802604.539,Workday
Video,Destroying My Friends Car And Surprising Him With A New One,02-12-2022,2022,hd,FALSE,Saturday,0,11,893,2100367,61117,77785926,2.700188978,0.078570769,5226378.007,Weekend
Video,I Spent 24 Hours Straight At Area 51,03-12-2022,2022,hd,FALSE,Friday,0,8,919,2366845,92136,87213811,2.713841962,0.105643818,5694046.42,Workday
Video,Can 50000 Magnets Catch A Cannon Ball?,04-12-2022,2022,hd,FALSE,Saturday,0,7,569,1151159,42399,48553674,2.370899883,0.087323979,5119895.325,Weekend
Video,Worlds Largest Game Of Dodgeball,05-12-2022,2022,hd,FALSE,Friday,0,5,677,1255152,57558,55061305,2.279553672,0.104534391,4879879.321,Workday
Video,Tipping Waitresses With Real Gold Bars,07-12-2022,2022,hd,FALSE,Friday,0,6,812,1420518,85389,54466602,2.60805328,0.156773136,4024625.764,Workday
Video,I Opened The Worlds First FREE Store,08-12-2022,2022,hd,FALSE,Saturday,0,7,891,1804276,76496,61336075,2.941622854,0.124716164,4130375.421,Weekend
Video,Spending 24 Hours On Top Of A Mountain,09-12-2022,2022,hd,FALSE,Thursday,0,8,924,2580433,110495,120828847,2.13561005,0.091447533,7846029.026,Workday
Video,Last To Leave VR Wins $20000,10-12-2022,2022,hd,FALSE,Saturday,0,6,858,2139232,91710,93519352,2.287475217,0.098065265,6539814.825,Weekend
Video,Last To Stop Running Wins $20000,11-12-2022,2022,hd,FALSE,Thursday,0,6,898,1981883,67340,91621494,2.163120152,0.073498037,6121703.385,Workday
Video,Paying People $10000 To Eat Ghost Pepper,12-12-2022,2022,hd,FALSE,Saturday,19,7,886,1081989,36383,37853766,2.858339115,0.096114611,2563460.451,Weekend
Video,24 Hours In The Most Haunted Place On Earth,13-12-2022,2022,hd,FALSE,Thursday,19,9,907,2025338,121110,67313167,3.008828867,0.179920223,4452910.717,Workday
Video,Worlds Largest Bowl Of Cereal,15-12-2022,2022,hd,FALSE,Wednesday,19,5,942,2033422,81688,107383804,1.89360213,0.076071062,6839732.739,Workday
Video,Spending 24 Hours In A City With No Laws,16-12-2022,2022,hd,FALSE,Tuesday,0,9,869,1838144,63594,97836465,1.87879233,0.065000304,6755106.904,Workday
Video,Giving $10000 To Random People And Saying Nothing,17-12-2022,2022,hd,FALSE,Tuesday,0,8,959,1277515,49265,53355845,2.394329993,0.092332902,3338217.623,Workday
Video,Molten Lava Vs Giant Ice Block Experiment,18-12-2022,2022,hd,FALSE,Saturday,0,7,458,1375063,42392,67174584,2.046998907,0.063107201,8800163.843,Weekend
Video,Anything You Can Carry Ill Pay For Challenge,19-12-2022,2022,hd,FALSE,Saturday,0,8,909,1533003,92916,75695750,2.025216739,0.122749296,4996419.142,Weekend
Video,Homeless Man Buys A Lamborghini,20-12-2022,2022,hd,FALSE,Thursday,0,5,860,2484559,73728,92378805,2.6895336,0.079810515,6445032.907,Workday
Video,Playing Battleship With Real Ships,21-12-2022,2022,hd,FALSE,Saturday,0,5,932,926899,35741,33270742,2.785928249,0.107424716,2141893.262,Weekend
Video,Donating $100000 To Shroud In Real Life,22-12-2022,2022,hd,FALSE,Thursday,0,7,854,866660,21448,30950529,2.800146001,0.069297685,2174510.234,Workday
Video,Last To Leave The Tesla Keeps It Challenge,23-12-2022,2022,hd,FALSE,Friday,18,8,1109,1494294,44568,79202192,1.886682631,0.05627117,4285059.982,Workday
Video,Donating $100000 To Streamers With 0 Viewers,24-12-2022,2022,hd,FALSE,Sunday,0,7,877,2438082,70729,65752064,3.707993106,0.107569247,4498430.832,Weekend
Video,Surviving 24 Hours Straight In A Desert,25-12-2022,2022,hd,FALSE,Saturday,0,7,844,2133581,91226,98963849,2.155919582,0.092181136,7035344.716,Weekend
Video,$200000 Youtuber Battle Royale,26-12-2022,2022,hd,FALSE,Tuesday,0,4,1584,1624499,146054,46208002,3.515622684,0.316079453,1750303.106,Workday
Video,Surprising Strangers With 100 Zombies - Experiment,27-12-2022,2022,hd,FALSE,Sunday,19,7,721,1619692,57632,54102151,2.993766366,0.106524415,4502259.445,Weekend
Video,I Gave A Homeless Man A Home,28-12-2022,2022,hd,FALSE,Thursday,0,7,802,2025725,115215,68647387,2.950913485,0.167835959,5135714.738,Workday
Video,Standing Still For 24 Hours Straight - Statue Challenge,29-12-2022,2022,hd,FALSE,Friday,0,9,1096,1400695,36846,68416229,2.047313949,0.053855643,3745413.996,Workday
Video,Giant Monopoly Game With Real Money,30-12-2022,2022,hd,FALSE,Friday,0,6,943,1554399,67395,66948392,2.321786907,0.100667093,4259706.808,Workday
Video,I Spent 24 Hours Straight In Insane Asylum,31-12-2022,2022,hd,FALSE,Sunday,20,8,956,2050431,136490,99562814,2.05943456,0.137089335,6248712.176,Weekend
Video,I Advertised Pewdiepie At The Super Bowl,01-01-2023,2023,hd,FALSE,Monday,0,7,765,1241721,67549,41254658,3.009892847,0.163736662,3235659.451,Workday
Video,I Went Back To 1st Grade For A Day,02-01-2023,2023,hd,FALSE,Thursday,0,9,1066,2526332,136858,134564318,1.877415973,0.101704525,7573976.623,Workday
Video,I Opened The World’s Cheapest Store,03-01-2023,2023,hd,FALSE,Saturday,0,6,919,1131300,86000,39317186,2.877367673,0.218733864,2566954.472,Weekend
Video,I Put 10 Million Legos in Friends House,04-01-2023,2023,hd,FALSE,Friday,0,8,917,1000913,60387,50953693,1.964358108,0.11851349,3333938.473,Workday
